,ctry_cd,country,item_cd,item,origin,population,Food supply (kcal/ctry/y)
0,1,Armenia,2511,Wheat and products,vegetal,2977000,1112683520000.0
1,1,Armenia,2513,Barley and products,vegetal,2977000,0.0
2,1,Armenia,2514,Maize and products,vegetal,2977000,0.0
3,1,Armenia,2515,Rye and products,vegetal,2977000,1086605000.0
4,1,Armenia,2516,Oats,vegetal,2977000,2173210000.0
7,1,Armenia,2520,"Cereals, Other",vegetal,2977000,15212470000.0
8,1,Armenia,2531,Potatoes and products,vegetal,2977000,89101610000.0
12,1,Armenia,2542,Sugar (Raw Equivalent),vegetal,2977000,328154710000.0
13,1,Armenia,2543,"Sweeteners, Other",vegetal,2977000,19558890000.0
16,1,Armenia,2549,"Pulses, Other and products",vegetal,2977000,0.0
17,1,Armenia,2551,Nuts and products,vegetal,2977000,19558890000.0
18,1,Armenia,2555,Soyabeans,vegetal,2977000,0.0
19,1,Armenia,2556,Groundnuts (Shelled Eq),vegetal,2977000,6519630000.0
21,1,Armenia,2558,Rape and Mustardseed,vegetal,2977000,0.0
22,1,Armenia,2560,Coconuts - Incl Copra,vegetal,2977000,0.0
23,1,Armenia,2561,Sesame seed,vegetal,2977000,0.0
24,1,Armenia,2563,Olives (including preserved),vegetal,2977000,3259815000.0
25,1,Armenia,2570,"Oilcrops, Other",vegetal,2977000,0.0
26,1,Armenia,2571,Soyabean Oil,vegetal,2977000,4346420000.0
27,1,Armenia,2572,Groundnut Oil,vegetal,2977000,0.0
28,1,Armenia,2573,Sunflowerseed Oil,vegetal,2977000,234706680000.0
29,1,Armenia,2574,Rape and Mustard Oil,vegetal,2977000,0.0
30,1,Armenia,2575,Cottonseed Oil,vegetal,2977000,0.0
31,1,Armenia,2576,Palmkernel Oil,vegetal,2977000,0.0
33,1,Armenia,2578,Coconut Oil,vegetal,2977000,7606235000.0
34,1,Armenia,2579,Sesameseed Oil,vegetal,2977000,0.0
35,1,Armenia,2580,Olive Oil,vegetal,2977000,1086605000.0
36,1,Armenia,2582,Maize Germ Oil,vegetal,2977000,3259815000.0
37,1,Armenia,2586,"Oilcrops Oil, Other",vegetal,2977000,0.0
38,1,Armenia,2601,Tomatoes and products,vegetal,2977000,44550805000.0
39,1,Armenia,2602,Onions,vegetal,2977000,16299075000.0
40,1,Armenia,2605,"Vegetables, Other",vegetal,2977000,155384515000.0
41,1,Armenia,2611,"Oranges, Mandarines",vegetal,2977000,4346420000.0
42,1,Armenia,2612,"Lemons, Limes and products",vegetal,2977000,0.0
43,1,Armenia,2613,Grapefruit and products,vegetal,2977000,0.0
44,1,Armenia,2614,"Citrus, Other",vegetal,2977000,0.0
45,1,Armenia,2615,Bananas,vegetal,2977000,1086605000.0
46,1,Armenia,2616,Plantains,vegetal,2977000,5433025000.0
47,1,Armenia,2617,Apples and products,vegetal,2977000,35857965000.0
48,1,Armenia,2618,Pineapples and products,vegetal,2977000,0.0
49,1,Armenia,2619,Dates,vegetal,2977000,1086605000.0
50,1,Armenia,2620,Grapes and products (excl wine),vegetal,2977000,21732100000.0
51,1,Armenia,2625,"Fruits, Other",vegetal,2977000,82581980000.0
52,1,Armenia,2630,Coffee and products,vegetal,2977000,5433025000.0
53,1,Armenia,2633,Cocoa Beans and products,vegetal,2977000,40204385000.0
54,1,Armenia,2635,Tea (including mate),vegetal,2977000,0.0
55,1,Armenia,2640,Pepper,vegetal,2977000,0.0
56,1,Armenia,2641,Pimento,vegetal,2977000,0.0
58,1,Armenia,2645,"Spices, Other",vegetal,2977000,0.0
59,1,Armenia,2655,Wine,vegetal,2977000,3259815000.0
60,1,Armenia,2656,Beer,vegetal,2977000,9779445000.0
61,1,Armenia,2657,"Beverages, Fermented",vegetal,2977000,0.0
62,1,Armenia,2658,"Beverages, Alcoholic",vegetal,2977000,1086605000.0
64,1,Armenia,2680,Infant food,vegetal,2977000,2173210000.0
65,1,Armenia,2731,Bovine Meat,animal,2977000,123872970000.0
66,1,Armenia,2732,Mutton & Goat Meat,animal,2977000,23905310000.0
67,1,Armenia,2733,Pigmeat,animal,2977000,78235560000.0
68,1,Armenia,2734,Poultry Meat,animal,2977000,48897225000.0
69,1,Armenia,2735,"Meat, Other",animal,2977000,0.0
70,1,Armenia,2736,"Offals, Edible",animal,2977000,15212470000.0
71,1,Armenia,2737,"Fats, Animals, Raw",animal,2977000,84755190000.0
72,1,Armenia,2740,"Butter, Ghee",animal,2977000,38031175000.0
73,1,Armenia,2743,Cream,animal,2977000,0.0
74,1,Armenia,2744,Eggs,animal,2977000,48897225000.0
75,1,Armenia,2745,Honey,vegetal,2977000,6519630000.0
76,1,Armenia,2761,Freshwater Fish,animal,2977000,6519630000.0
77,1,Armenia,2762,Demersal Fish,animal,2977000,0.0
78,1,Armenia,2763,Pelagic Fish,animal,2977000,2173210000.0
79,1,Armenia,2764,"Marine Fish, Other",animal,2977000,0.0
80,1,Armenia,2765,Crustaceans,animal,2977000,0.0
81,1,Armenia,2766,Cephalopods,animal,2977000,0.0
82,1,Armenia,2767,"Molluscs, Other",animal,2977000,0.0
83,1,Armenia,2769,"Aquatic Animals, Others",animal,2977000,0.0
84,1,Armenia,2775,Aquatic Plants,animal,2977000,0.0
85,1,Armenia,2781,"Fish, Body Oil",animal,2977000,0.0
86,1,Armenia,2782,"Fish, Liver Oil",animal,2977000,0.0
87,1,Armenia,2805,Rice (Milled Equivalent),vegetal,2977000,36944570000.0
88,1,Armenia,2848,Milk - Excluding Butter,animal,2977000,381398355000.0
89,1,Armenia,2899,Miscellaneous,vegetal,2977000,3259815000.0
90,2,Afghanistan,2511,Wheat and products,vegetal,30552000,15266376120000.0
91,2,Afghanistan,2513,Barley and products,vegetal,30552000,289938480000.0
92,2,Afghanistan,2514,Maize and products,vegetal,30552000,234181080000.0
93,2,Afghanistan,2517,Millet and products,vegetal,30552000,33454440000.0
94,2,Afghanistan,2520,"Cereals, Other",vegetal,30552000,0.0
95,2,Afghanistan,2531,Potatoes and products,vegetal,30552000,167272200000.0
98,2,Afghanistan,2542,Sugar (Raw Equivalent),vegetal,30552000,936724320000.0
99,2,Afghanistan,2543,"Sweeteners, Other",vegetal,30552000,22302960000.0
100,2,Afghanistan,2549,"Pulses, Other and products",vegetal,30552000,256484040000.0
101,2,Afghanistan,2551,Nuts and products,vegetal,30552000,133817760000.0
104,2,Afghanistan,2560,Coconuts - Incl Copra,vegetal,30552000,0.0
105,2,Afghanistan,2561,Sesame seed,vegetal,30552000,100363320000.0
106,2,Afghanistan,2563,Olives (including preserved),vegetal,30552000,0.0
108,2,Afghanistan,2571,Soyabean Oil,vegetal,30552000,144969240000.0
109,2,Afghanistan,2572,Groundnut Oil,vegetal,30552000,0.0
110,2,Afghanistan,2573,Sunflowerseed Oil,vegetal,30552000,200726640000.0
111,2,Afghanistan,2574,Rape and Mustard Oil,vegetal,30552000,22302960000.0
112,2,Afghanistan,2575,Cottonseed Oil,vegetal,30552000,33454440000.0
113,2,Afghanistan,2577,Palm Oil,vegetal,30552000,568725480000.0
114,2,Afghanistan,2579,Sesameseed Oil,vegetal,30552000,11151480000.0
115,2,Afghanistan,2580,Olive Oil,vegetal,30552000,0.0
116,2,Afghanistan,2586,"Oilcrops Oil, Other",vegetal,30552000,22302960000.0
117,2,Afghanistan,2601,Tomatoes and products,vegetal,30552000,0.0
118,2,Afghanistan,2605,"Vegetables, Other",vegetal,30552000,189575160000.0
119,2,Afghanistan,2611,"Oranges, Mandarines",vegetal,30552000,44605920000.0
120,2,Afghanistan,2614,"Citrus, Other",vegetal,30552000,11151480000.0
121,2,Afghanistan,2615,Bananas,vegetal,30552000,44605920000.0
122,2,Afghanistan,2617,Apples and products,vegetal,30552000,33454440000.0
123,2,Afghanistan,2618,Pineapples and products,vegetal,30552000,0.0
124,2,Afghanistan,2619,Dates,vegetal,30552000,0.0
125,2,Afghanistan,2620,Grapes and products (excl wine),vegetal,30552000,323392920000.0
126,2,Afghanistan,2625,"Fruits, Other",vegetal,30552000,100363320000.0
127,2,Afghanistan,2630,Coffee and products,vegetal,30552000,0.0
128,2,Afghanistan,2633,Cocoa Beans and products,vegetal,30552000,0.0
129,2,Afghanistan,2635,Tea (including mate),vegetal,30552000,44605920000.0
130,2,Afghanistan,2640,Pepper,vegetal,30552000,0.0
131,2,Afghanistan,2645,"Spices, Other",vegetal,30552000,22302960000.0
132,2,Afghanistan,2655,Wine,vegetal,30552000,0.0
133,2,Afghanistan,2656,Beer,vegetal,30552000,0.0
134,2,Afghanistan,2658,"Beverages, Alcoholic",vegetal,30552000,0.0
135,2,Afghanistan,2680,Infant food,vegetal,30552000,11151480000.0
136,2,Afghanistan,2731,Bovine Meat,animal,30552000,301089960000.0
137,2,Afghanistan,2732,Mutton & Goat Meat,animal,30552000,345695880000.0
138,2,Afghanistan,2734,Poultry Meat,animal,30552000,100363320000.0
139,2,Afghanistan,2735,"Meat, Other",animal,30552000,11151480000.0
140,2,Afghanistan,2736,"Offals, Edible",animal,30552000,55757400000.0
141,2,Afghanistan,2737,"Fats, Animals, Raw",animal,30552000,133817760000.0
142,2,Afghanistan,2740,"Butter, Ghee",animal,30552000,256484040000.0
143,2,Afghanistan,2743,Cream,animal,30552000,33454440000.0
144,2,Afghanistan,2744,Eggs,animal,30552000,55757400000.0
145,2,Afghanistan,2745,Honey,vegetal,30552000,11151480000.0
146,2,Afghanistan,2761,Freshwater Fish,animal,30552000,0.0
147,2,Afghanistan,2805,Rice (Milled Equivalent),vegetal,30552000,1572358680000.0
148,2,Afghanistan,2848,Milk - Excluding Butter,animal,30552000,1115148000000.0
149,2,Afghanistan,2899,Miscellaneous,vegetal,30552000,11151480000.0
150,3,Albania,2511,Wheat and products,vegetal,3173000,1223001120000.0
151,3,Albania,2513,Barley and products,vegetal,3173000,1158145000.0
152,3,Albania,2514,Maize and products,vegetal,3173000,15055885000.0
153,3,Albania,2515,Rye and products,vegetal,3173000,5790725000.0
154,3,Albania,2516,Oats,vegetal,3173000,1158145000.0
157,3,Albania,2520,"Cereals, Other",vegetal,3173000,0.0
158,3,Albania,2531,Potatoes and products,vegetal,3173000,89177165000.0
159,3,Albania,2532,Cassava and products,vegetal,3173000,0.0
160,3,Albania,2533,Sweet potatoes,vegetal,3173000,1158145000.0
161,3,Albania,2534,"Roots, Other",vegetal,3173000,0.0
163,3,Albania,2542,Sugar (Raw Equivalent),vegetal,3173000,200359085000.0
164,3,Albania,2543,"Sweeteners, Other",vegetal,3173000,18530320000.0
165,3,Albania,2546,Beans,vegetal,3173000,53274670000.0
166,3,Albania,2547,Peas,vegetal,3173000,0.0
167,3,Albania,2549,"Pulses, Other and products",vegetal,3173000,3474435000.0
168,3,Albania,2551,Nuts and products,vegetal,3173000,31269915000.0
169,3,Albania,2555,Soyabeans,vegetal,3173000,0.0
170,3,Albania,2556,Groundnuts (Shelled Eq),vegetal,3173000,2316290000.0
172,3,Albania,2558,Rape and Mustardseed,vegetal,3173000,0.0
174,3,Albania,2560,Coconuts - Incl Copra,vegetal,3173000,0.0
177,3,Albania,2563,Olives (including preserved),vegetal,3173000,79912005000.0
179,3,Albania,2571,Soyabean Oil,vegetal,3173000,3474435000.0
180,3,Albania,2572,Groundnut Oil,vegetal,3173000,0.0
181,3,Albania,2573,Sunflowerseed Oil,vegetal,3173000,140135545000.0
182,3,Albania,2574,Rape and Mustard Oil,vegetal,3173000,1158145000.0
185,3,Albania,2577,Palm Oil,vegetal,3173000,0.0
188,3,Albania,2580,Olive Oil,vegetal,3173000,16214030000.0
189,3,Albania,2582,Maize Germ Oil,vegetal,3173000,8107015000.0
190,3,Albania,2586,"Oilcrops Oil, Other",vegetal,3173000,30111770000.0
191,3,Albania,2601,Tomatoes and products,vegetal,3173000,32428060000.0
192,3,Albania,2602,Onions,vegetal,3173000,28953625000.0
193,3,Albania,2605,"Vegetables, Other",vegetal,3173000,113498210000.0
194,3,Albania,2611,"Oranges, Mandarines",vegetal,3173000,12739595000.0
195,3,Albania,2612,"Lemons, Limes and products",vegetal,3173000,1158145000.0
196,3,Albania,2613,Grapefruit and products,vegetal,3173000,0.0
197,3,Albania,2614,"Citrus, Other",vegetal,3173000,0.0
198,3,Albania,2615,Bananas,vegetal,3173000,11581450000.0
199,3,Albania,2616,Plantains,vegetal,3173000,0.0
200,3,Albania,2617,Apples and products,vegetal,3173000,38218785000.0
201,3,Albania,2618,Pineapples and products,vegetal,3173000,0.0
202,3,Albania,2619,Dates,vegetal,3173000,18530320000.0
203,3,Albania,2620,Grapes and products (excl wine),vegetal,3173000,99600470000.0
204,3,Albania,2625,"Fruits, Other",vegetal,3173000,72963135000.0
205,3,Albania,2630,Coffee and products,vegetal,3173000,3474435000.0
206,3,Albania,2633,Cocoa Beans and products,vegetal,3173000,15055885000.0
207,3,Albania,2635,Tea (including mate),vegetal,3173000,0.0
208,3,Albania,2640,Pepper,vegetal,3173000,0.0
209,3,Albania,2641,Pimento,vegetal,3173000,0.0
210,3,Albania,2645,"Spices, Other",vegetal,3173000,0.0
211,3,Albania,2655,Wine,vegetal,3173000,17372175000.0
212,3,Albania,2656,Beer,vegetal,3173000,41693220000.0
213,3,Albania,2657,"Beverages, Fermented",vegetal,3173000,0.0
214,3,Albania,2658,"Beverages, Alcoholic",vegetal,3173000,24321045000.0
216,3,Albania,2680,Infant food,vegetal,3173000,1158145000.0
217,3,Albania,2731,Bovine Meat,animal,3173000,116972645000.0
218,3,Albania,2732,Mutton & Goat Meat,animal,3173000,98442325000.0
219,3,Albania,2733,Pigmeat,animal,3173000,96126035000.0
220,3,Albania,2734,Poultry Meat,animal,3173000,77595715000.0
221,3,Albania,2735,"Meat, Other",animal,3173000,0.0
222,3,Albania,2736,"Offals, Edible",animal,3173000,12739595000.0
223,3,Albania,2737,"Fats, Animals, Raw",animal,3173000,32428060000.0
224,3,Albania,2740,"Butter, Ghee",animal,3173000,26637335000.0
225,3,Albania,2743,Cream,animal,3173000,0.0
226,3,Albania,2744,Eggs,animal,3173000,53274670000.0
227,3,Albania,2745,Honey,vegetal,3173000,9265160000.0
228,3,Albania,2761,Freshwater Fish,animal,3173000,1158145000.0
229,3,Albania,2762,Demersal Fish,animal,3173000,1158145000.0
230,3,Albania,2763,Pelagic Fish,animal,3173000,4632580000.0
231,3,Albania,2764,"Marine Fish, Other",animal,3173000,1158145000.0
232,3,Albania,2765,Crustaceans,animal,3173000,0.0
233,3,Albania,2766,Cephalopods,animal,3173000,1158145000.0
234,3,Albania,2767,"Molluscs, Other",animal,3173000,0.0
235,3,Albania,2769,"Aquatic Animals, Others",animal,3173000,0.0
236,3,Albania,2775,Aquatic Plants,animal,3173000,0.0
237,3,Albania,2781,"Fish, Body Oil",animal,3173000,0.0
238,3,Albania,2782,"Fish, Liver Oil",animal,3173000,0.0
239,3,Albania,2805,Rice (Milled Equivalent),vegetal,3173000,78753860000.0
240,3,Albania,2848,Milk - Excluding Butter,animal,3173000,617291285000.0
241,3,Albania,2899,Miscellaneous,vegetal,3173000,5790725000.0
242,4,Algeria,2511,Wheat and products,vegetal,39208000,20378750080000.0
243,4,Algeria,2513,Barley and products,vegetal,39208000,1345226480000.0
244,4,Algeria,2514,Maize and products,vegetal,39208000,1846108680000.0
245,4,Algeria,2515,Rye and products,vegetal,39208000,0.0
246,4,Algeria,2516,Oats,vegetal,39208000,0.0
248,4,Algeria,2518,Sorghum and products,vegetal,39208000,14310920000.0
249,4,Algeria,2520,"Cereals, Other",vegetal,39208000,0.0
250,4,Algeria,2531,Potatoes and products,vegetal,39208000,1803175920000.0
251,4,Algeria,2532,Cassava and products,vegetal,39208000,0.0
253,4,Algeria,2534,"Roots, Other",vegetal,39208000,0.0
256,4,Algeria,2542,Sugar (Raw Equivalent),vegetal,39208000,3692217360000.0
257,4,Algeria,2543,"Sweeteners, Other",vegetal,39208000,85865520000.0
258,4,Algeria,2546,Beans,vegetal,39208000,200352880000.0
259,4,Algeria,2547,Peas,vegetal,39208000,57243680000.0
260,4,Algeria,2549,"Pulses, Other and products",vegetal,39208000,872966120000.0
261,4,Algeria,2551,Nuts and products,vegetal,39208000,186041960000.0
262,4,Algeria,2555,Soyabeans,vegetal,39208000,0.0
263,4,Algeria,2556,Groundnuts (Shelled Eq),vegetal,39208000,71554600000.0
265,4,Algeria,2558,Rape and Mustardseed,vegetal,39208000,0.0
267,4,Algeria,2560,Coconuts - Incl Copra,vegetal,39208000,0.0
268,4,Algeria,2561,Sesame seed,vegetal,39208000,28621840000.0
269,4,Algeria,2562,Palm kernels,vegetal,39208000,0.0
270,4,Algeria,2563,Olives (including preserved),vegetal,39208000,171731040000.0
271,4,Algeria,2570,"Oilcrops, Other",vegetal,39208000,0.0
272,4,Algeria,2571,Soyabean Oil,vegetal,39208000,2590276520000.0
273,4,Algeria,2572,Groundnut Oil,vegetal,39208000,171731040000.0
274,4,Algeria,2573,Sunflowerseed Oil,vegetal,39208000,686924160000.0
275,4,Algeria,2574,Rape and Mustard Oil,vegetal,39208000,157420120000.0
278,4,Algeria,2577,Palm Oil,vegetal,39208000,257596560000.0
279,4,Algeria,2578,Coconut Oil,vegetal,39208000,14310920000.0
280,4,Algeria,2579,Sesameseed Oil,vegetal,39208000,0.0
281,4,Algeria,2580,Olive Oil,vegetal,39208000,601058640000.0
282,4,Algeria,2582,Maize Germ Oil,vegetal,39208000,14310920000.0
283,4,Algeria,2586,"Oilcrops Oil, Other",vegetal,39208000,672613240000.0
284,4,Algeria,2601,Tomatoes and products,vegetal,39208000,228974720000.0
285,4,Algeria,2602,Onions,vegetal,39208000,500882200000.0
286,4,Algeria,2605,"Vegetables, Other",vegetal,39208000,1044697160000.0
287,4,Algeria,2611,"Oranges, Mandarines",vegetal,39208000,343462080000.0
288,4,Algeria,2612,"Lemons, Limes and products",vegetal,39208000,14310920000.0
289,4,Algeria,2613,Grapefruit and products,vegetal,39208000,0.0
290,4,Algeria,2614,"Citrus, Other",vegetal,39208000,0.0
291,4,Algeria,2615,Bananas,vegetal,39208000,143109200000.0
292,4,Algeria,2616,Plantains,vegetal,39208000,0.0
293,4,Algeria,2617,Apples and products,vegetal,39208000,257596560000.0
294,4,Algeria,2618,Pineapples and products,vegetal,39208000,0.0
295,4,Algeria,2619,Dates,vegetal,39208000,1445402920000.0
296,4,Algeria,2620,Grapes and products (excl wine),vegetal,39208000,300529320000.0
297,4,Algeria,2625,"Fruits, Other",vegetal,39208000,558125880000.0
298,4,Algeria,2630,Coffee and products,vegetal,39208000,57243680000.0
299,4,Algeria,2633,Cocoa Beans and products,vegetal,39208000,143109200000.0
300,4,Algeria,2635,Tea (including mate),vegetal,39208000,0.0
301,4,Algeria,2640,Pepper,vegetal,39208000,14310920000.0
302,4,Algeria,2641,Pimento,vegetal,39208000,57243680000.0
303,4,Algeria,2642,Cloves,vegetal,39208000,0.0
304,4,Algeria,2645,"Spices, Other",vegetal,39208000,28621840000.0
305,4,Algeria,2655,Wine,vegetal,39208000,0.0
