,ctry_cd,country,item_cd,item,origin,population,Fat supply quantity (g/capita/day),Food supply (kcal/capita/day),Food supply quantity (kg/capita/yr),Protein supply quantity (g/capita/day)
0,1,Armenia,2511,Wheat and products,vegetal,2977000,3.6,1024.0,130.6,30.52
1,1,Armenia,2513,Barley and products,vegetal,2977000,0.0,0.0,0.0,0.0
2,1,Armenia,2514,Maize and products,vegetal,2977000,,0.0,0.03,0.01
3,1,Armenia,2515,Rye and products,vegetal,2977000,0.0,1.0,0.12,0.02
4,1,Armenia,2516,Oats,vegetal,2977000,0.03,2.0,0.37,0.09
5,1,Armenia,2520,"Cereals, Other",vegetal,2977000,0.04,14.0,1.96,0.39
6,1,Armenia,2531,Potatoes and products,vegetal,2977000,0.12,82.0,45.1,1.94
7,1,Armenia,2542,Sugar (Raw Equivalent),vegetal,2977000,,302.0,33.03,
8,1,Armenia,2543,"Sweeteners, Other",vegetal,2977000,,18.0,1.82,
9,1,Armenia,2549,"Pulses, Other and products",vegetal,2977000,,0.0,0.0,0.0
10,1,Armenia,2551,Nuts and products,vegetal,2977000,1.76,18.0,2.15,0.42
11,1,Armenia,2555,Soyabeans,vegetal,2977000,,0.0,0.0,
12,1,Armenia,2556,Groundnuts (Shelled Eq),vegetal,2977000,0.55,6.0,0.4,0.29
13,1,Armenia,2558,Rape and Mustardseed,vegetal,2977000,0.0,0.0,0.0,0.0
14,1,Armenia,2560,Coconuts - Incl Copra,vegetal,2977000,0.03,0.0,0.08,0.0
15,1,Armenia,2561,Sesame seed,vegetal,2977000,0.01,0.0,0.01,0.0
16,1,Armenia,2563,Olives (including preserved),vegetal,2977000,0.28,3.0,0.92,0.03
17,1,Armenia,2570,"Oilcrops, Other",vegetal,2977000,,0.0,0.0,
18,1,Armenia,2571,Soyabean Oil,vegetal,2977000,0.5,4.0,0.18,
19,1,Armenia,2572,Groundnut Oil,vegetal,2977000,0.0,0.0,0.0,
20,1,Armenia,2573,Sunflowerseed Oil,vegetal,2977000,24.38,216.0,8.85,0.04
21,1,Armenia,2574,Rape and Mustard Oil,vegetal,2977000,0.0,0.0,0.0,
22,1,Armenia,2575,Cottonseed Oil,vegetal,2977000,0.0,0.0,0.0,
