Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balance Sheets","2","Afghanistan","511","Total Population - Both sexes","2501","Population","2010","2010","1000 persons","28398","","Official data"
"FBS","Food Balance Sheets","2","Afghanistan","511","Total Population - Both sexes","2501","Population","2011","2011","1000 persons","29105","","Official data"
"FBS","Food Balance Sheets","2","Afghanistan","511","Total Population - Both sexes","2501","Population","2012","2012","1000 persons","29825","","Official data"
"FBS","Food Balance Sheets","2","Afghanistan","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","30552","","Official data"
"FBS","Food Balance Sheets","3","Albania","511","Total Population - Both sexes","2501","Population","2010","2010","1000 persons","3150","","Official data"
"FBS","Food Balance Sheets","3","Albania","511","Total Population - Both sexes","2501","Population","2011","2011","1000 persons","3154","","Official data"
"FBS","Food Balance Sheets","3","Albania","511","Total Population - Both sexes","2501","Population","2012","2012","1000 persons","3162","","Official data"
"FBS","Food Balance Sheets","3","Albania","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","3173","","Official data"
"FBS","Food Balance Sheets","4","Algeria","511","Total Population - Both sexes","2501","Population","2010","2010","1000 persons","37063","","Official data"
"FBS","Food Balance Sheets","4","Algeria","511","Total Population - Both sexes","2501","Population","2011","2011","1000 persons","37763","","Official data"
"FBS","Food Balance Sheets","4","Algeria","511","Total Population - Both sexes","2501","Population","2012","2012","1000 persons","38482","","Official data"
"FBS","Food Balance Sheets","4","Algeria","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","39208","","Official data"
"FBS","Food Balance Sheets","7","Angola","511","Total Population - Both sexes","2501","Population","2010","2010","1000 persons","19549","","Official data"
"FBS","Food Balance Sheets","7","Angola","511","Total Population - Both sexes","2501","Population","2011","2011","1000 persons","20180","","Official data"
"FBS","Food Balance Sheets","7","Angola","511","Total Population - Both sexes","2501","Population","2012","2012","1000 persons","20821","","Official data"
"FBS","Food Balance Sheets","7","Angola","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","21472","","Official data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","511","Total Population - Both sexes","2501","Population","2010","2010","1000 persons","87","","Official data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","511","Total Population - Both sexes","2501","Population","2011","2011","1000 persons","88","","Official data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","511","Total Population - Both sexes","2501","Population","2012","2012","1000 persons","89","","Official data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","90","","Official data"
"FBS","Food Balance Sheets","9","Argentina","511","Total Population - Both sexes","2501","Population","2010","2010","1000 persons","40374","","Official data"
"FBS","Food Balance Sheets","9","Argentina","511","Total Population - Both sexes","2501","Population","2011","2011","1000 persons","40729","","Official data"
"FBS","Food Balance Sheets","9","Argentina","511","Total Population - Both sexes","2501","Population","2012","2012","1000 persons","41087","","Official data"
"FBS","Food Balance Sheets","9","Argentina","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","41446","","Official data"
"FBS","Food Balance Sheets","1","Armenia","511","Total Population - Both sexes","2501","Population","2010","2010","1000 persons","2963","","Official data"
"FBS","Food Balance Sheets","1","Armenia","511","Total Population - Both sexes","2501","Population","2011","2011","1000 persons","2964","","Official data"
"FBS","Food Balance Sheets","1","Armenia","511","Total Population - Both sexes","2501","Population","2012","2012","1000 persons","2969","","Official data"
"FBS","Food Balance Sheets","1","Armenia","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","2977","","Official data"
