ctry_cd,country,item_cd,item,year,domestic_t_ctry_y,feed_t_ctry_y,food_t_ctry_y,losses_t_ctry_y,other_uses_t_ctry_y,processing_t_ctry_y,seeds_t_ctry_y
1,Armenia,2511,Wheat and products,2010,505000.0,61000.0,372000.0,38000.0,1000.0,12000.0,22000.0
1,Armenia,2511,Wheat and products,2011,516000.0,65000.0,386000.0,34000.0,0.0,12000.0,20000.0
1,Armenia,2511,Wheat and products,2012,532000.0,92000.0,377000.0,29000.0,0.0,10000.0,23000.0
1,Armenia,2511,Wheat and products,2013,554000.0,93000.0,389000.0,32000.0,0.0,10000.0,30000.0
1,Armenia,2513,Barley and products,2010,160000.0,86000.0,11000.0,12000.0,34000.0,3000.0,14000.0
1,Armenia,2513,Barley and products,2011,201000.0,124000.0,7000.0,15000.0,37000.0,3000.0,15000.0
1,Armenia,2513,Barley and products,2012,172000.0,121000.0,1000.0,14000.0,16000.0,7000.0,14000.0
1,Armenia,2513,Barley and products,2013,198000.0,137000.0,0.0,15000.0,26000.0,7000.0,14000.0
1,Armenia,2514,Maize and products,2010,62000.0,57000.0,0.0,5000.0,,,0.0
1,Armenia,2514,Maize and products,2011,71000.0,66000.0,0.0,5000.0,,,0.0
1,Armenia,2514,Maize and products,2012,58000.0,53000.0,0.0,5000.0,,,0.0
1,Armenia,2514,Maize and products,2013,102000.0,96000.0,0.0,7000.0,,,0.0
1,Armenia,2515,Rye and products,2010,1000.0,0.0,0.0,0.0,,,0.0
1,Armenia,2515,Rye and products,2011,2000.0,1000.0,0.0,0.0,,,0.0
1,Armenia,2515,Rye and products,2012,1000.0,1000.0,0.0,0.0,,,0.0
1,Armenia,2515,Rye and products,2013,1000.0,1000.0,0.0,0.0,,,0.0
1,Armenia,2516,Oats,2010,3000.0,2000.0,1000.0,0.0,,,0.0
1,Armenia,2516,Oats,2011,4000.0,3000.0,1000.0,0.0,,,0.0
1,Armenia,2516,Oats,2012,4000.0,3000.0,1000.0,0.0,,,0.0
1,Armenia,2516,Oats,2013,6000.0,4000.0,1000.0,0.0,,,0.0
1,Armenia,2517,Millet and products,2010,0.0,0.0,,,,,
1,Armenia,2517,Millet and products,2011,0.0,0.0,,,,,
1,Armenia,2517,Millet and products,2012,9000.0,9000.0,,,,,
1,Armenia,2517,Millet and products,2013,0.0,0.0,,,,,
1,Armenia,2518,Sorghum and products,2010,0.0,0.0,,,,,
1,Armenia,2518,Sorghum and products,2011,0.0,0.0,,,,,
1,Armenia,2518,Sorghum and products,2012,0.0,0.0,,,,,
1,Armenia,2518,Sorghum and products,2013,0.0,0.0,,,,,
1,Armenia,2520,"Cereals, Other",2010,10000.0,0.0,6000.0,0.0,3000.0,,1000.0
1,Armenia,2520,"Cereals, Other",2011,35000.0,1000.0,25000.0,1000.0,8000.0,,1000.0
1,Armenia,2520,"Cereals, Other",2012,18000.0,1000.0,5000.0,1000.0,10000.0,,1000.0
1,Armenia,2520,"Cereals, Other",2013,21000.0,1000.0,6000.0,1000.0,12000.0,,1000.0
1,Armenia,2531,Potatoes and products,2010,482000.0,88000.0,143000.0,79000.0,1000.0,57000.0,113000.0
1,Armenia,2531,Potatoes and products,2011,552000.0,173000.0,131000.0,66000.0,10000.0,57000.0,115000.0
1,Armenia,2531,Potatoes and products,2012,654000.0,236000.0,133000.0,84000.0,10000.0,66000.0,125000.0
1,Armenia,2531,Potatoes and products,2013,672000.0,225000.0,134000.0,96000.0,16000.0,78000.0,123000.0
1,Armenia,2532,Cassava and products,2010,0.0,0.0,,,,,
1,Armenia,2532,Cassava and products,2011,0.0,0.0,,,,,
1,Armenia,2532,Cassava and products,2012,0.0,0.0,,,,,
1,Armenia,2532,Cassava and products,2013,0.0,0.0,,,,,
1,Armenia,2534,"Roots, Other",2010,0.0,0.0,,,,,
1,Armenia,2534,"Roots, Other",2011,0.0,0.0,,,,,
1,Armenia,2534,"Roots, Other",2012,0.0,0.0,,,,,
1,Armenia,2534,"Roots, Other",2013,0.0,0.0,,,,,
1,Armenia,2537,Sugar beet,2010,26000.0,1000.0,,,,25000.0,
1,Armenia,2537,Sugar beet,2011,57000.0,1000.0,,,,56000.0,
1,Armenia,2537,Sugar beet,2012,54000.0,0.0,,,,54000.0,
1,Armenia,2537,Sugar beet,2013,55000.0,1000.0,,,,54000.0,
1,Armenia,2542,Sugar (Raw Equivalent),2010,119000.0,,119000.0,,0.0,,
1,Armenia,2542,Sugar (Raw Equivalent),2011,107000.0,,107000.0,,0.0,,
1,Armenia,2542,Sugar (Raw Equivalent),2012,93000.0,,100000.0,,0.0,,
1,Armenia,2542,Sugar (Raw Equivalent),2013,93000.0,,98000.0,,0.0,,
1,Armenia,2543,"Sweeteners, Other",2010,6000.0,,1000.0,,5000.0,,
1,Armenia,2543,"Sweeteners, Other",2011,0.0,,0.0,,0.0,,
1,Armenia,2543,"Sweeteners, Other",2012,7000.0,,7000.0,,0.0,,
1,Armenia,2543,"Sweeteners, Other",2013,5000.0,,5000.0,,0.0,,
1,Armenia,2546,Beans,2010,4000.0,4000.0,,0.0,,,0.0
1,Armenia,2546,Beans,2011,6000.0,5000.0,,0.0,,,0.0
1,Armenia,2546,Beans,2012,5000.0,4000.0,,0.0,,,0.0
1,Armenia,2546,Beans,2013,5000.0,5000.0,,0.0,,,0.0
1,Armenia,2547,Peas,2010,3000.0,3000.0,,,,,
1,Armenia,2547,Peas,2011,2000.0,2000.0,,,,,
1,Armenia,2547,Peas,2012,2000.0,2000.0,,,,,
1,Armenia,2547,Peas,2013,2000.0,2000.0,,,,,
1,Armenia,2549,"Pulses, Other and products",2010,4000.0,4000.0,0.0,0.0,,,
1,Armenia,2549,"Pulses, Other and products",2011,3000.0,3000.0,0.0,0.0,,,
1,Armenia,2549,"Pulses, Other and products",2012,2000.0,2000.0,0.0,0.0,,,
1,Armenia,2549,"Pulses, Other and products",2013,3000.0,3000.0,0.0,0.0,,,
1,Armenia,2551,Nuts and products,2010,5000.0,,5000.0,0.0,,,
1,Armenia,2551,Nuts and products,2011,5000.0,,5000.0,0.0,,,
1,Armenia,2551,Nuts and products,2012,5000.0,,5000.0,0.0,,,
1,Armenia,2551,Nuts and products,2013,6000.0,,6000.0,0.0,,,
1,Armenia,2555,Soyabeans,2010,0.0,0.0,0.0,,,,
1,Armenia,2555,Soyabeans,2011,0.0,0.0,0.0,,,,
1,Armenia,2555,Soyabeans,2012,0.0,0.0,0.0,,,,
1,Armenia,2555,Soyabeans,2013,0.0,0.0,0.0,,,,
1,Armenia,2556,Groundnuts (Shelled Eq),2010,1000.0,,1000.0,,,,
1,Armenia,2556,Groundnuts (Shelled Eq),2011,1000.0,,1000.0,,,,
1,Armenia,2556,Groundnuts (Shelled Eq),2012,1000.0,,1000.0,,,,
1,Armenia,2556,Groundnuts (Shelled Eq),2013,1000.0,,1000.0,,,,
1,Armenia,2557,Sunflower seed,2010,4000.0,2000.0,,,,2000.0,
1,Armenia,2557,Sunflower seed,2011,3000.0,2000.0,,,,1000.0,
1,Armenia,2557,Sunflower seed,2012,6000.0,0.0,,,,5000.0,
1,Armenia,2557,Sunflower seed,2013,2000.0,0.0,,,,2000.0,
1,Armenia,2558,Rape and Mustardseed,2010,0.0,0.0,0.0,,,,
1,Armenia,2558,Rape and Mustardseed,2011,0.0,0.0,0.0,,,,
1,Armenia,2558,Rape and Mustardseed,2012,0.0,0.0,0.0,,,,
1,Armenia,2558,Rape and Mustardseed,2013,0.0,0.0,0.0,,,,
1,Armenia,2560,Coconuts - Incl Copra,2010,0.0,,0.0,,,,
1,Armenia,2560,Coconuts - Incl Copra,2011,1000.0,,1000.0,,,,
