Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balance Sheets","5000","World","5511","Production","2511","Wheat and products","2013","2013","1000 tonnes","708443","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5611","Import Quantity","2511","Wheat and products","2013","2013","1000 tonnes","185378","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5072","Stock Variation","2511","Wheat and products","2013","2013","1000 tonnes","-15947","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5911","Export Quantity","2511","Wheat and products","2013","2013","1000 tonnes","198378","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5301","Domestic supply quantity","2511","Wheat and products","2013","2013","1000 tonnes","679495","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5521","Feed","2511","Wheat and products","2013","2013","1000 tonnes","129669","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2511","Wheat and products","2013","2013","1000 tonnes","34283","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2511","Wheat and products","2013","2013","1000 tonnes","27533","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5131","Processing","2511","Wheat and products","2013","2013","1000 tonnes","7875","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5154","Other uses","2511","Wheat and products","2013","2013","1000 tonnes","22428","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2511","Wheat and products","2013","2013","1000 tonnes","457823","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2511","Wheat and products","2013","2013","kg","65.43","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2511","Wheat and products","2013","2013","kcal/capita/day","527","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","674","Protein supply quantity (g/capita/day)","2511","Wheat and products","2013","2013","g/capita/day","15.87","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","684","Fat supply quantity (g/capita/day)","2511","Wheat and products","2013","2013","g/capita/day","2.43","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5511","Production","2805","Rice (Milled Equivalent)","2013","2013","1000 tonnes","495447","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5611","Import Quantity","2805","Rice (Milled Equivalent)","2013","2013","1000 tonnes","37620","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5072","Stock Variation","2805","Rice (Milled Equivalent)","2013","2013","1000 tonnes","-15958","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5911","Export Quantity","2805","Rice (Milled Equivalent)","2013","2013","1000 tonnes","41450","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5301","Domestic supply quantity","2805","Rice (Milled Equivalent)","2013","2013","1000 tonnes","475659","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5521","Feed","2805","Rice (Milled Equivalent)","2013","2013","1000 tonnes","33596","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2805","Rice (Milled Equivalent)","2013","2013","1000 tonnes","12197","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2805","Rice (Milled Equivalent)","2013","2013","1000 tonnes","27377","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5131","Processing","2805","Rice (Milled Equivalent)","2013","2013","1000 tonnes","6738","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5154","Other uses","2805","Rice (Milled Equivalent)","2013","2013","1000 tonnes","18464","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2805","Rice (Milled Equivalent)","2013","2013","1000 tonnes","377287","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2805","Rice (Milled Equivalent)","2013","2013","kg","53.92","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2805","Rice (Milled Equivalent)","2013","2013","kcal/capita/day","541","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","674","Protein supply quantity (g/capita/day)","2805","Rice (Milled Equivalent)","2013","2013","g/capita/day","10.13","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","684","Fat supply quantity (g/capita/day)","2805","Rice (Milled Equivalent)","2013","2013","g/capita/day","1.45","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5511","Production","2513","Barley and products","2013","2013","1000 tonnes","142460","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5611","Import Quantity","2513","Barley and products","2013","2013","1000 tonnes","38687","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5072","Stock Variation","2513","Barley and products","2013","2013","1000 tonnes","876","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5911","Export Quantity","2513","Barley and products","2013","2013","1000 tonnes","41587","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5301","Domestic supply quantity","2513","Barley and products","2013","2013","1000 tonnes","140436","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5521","Feed","2513","Barley and products","2013","2013","1000 tonnes","92660","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2513","Barley and products","2013","2013","1000 tonnes","8803","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2513","Barley and products","2013","2013","1000 tonnes","4624","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5131","Processing","2513","Barley and products","2013","2013","1000 tonnes","26905","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5154","Other uses","2513","Barley and products","2013","2013","1000 tonnes","656","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2513","Barley and products","2013","2013","1000 tonnes","6794","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2513","Barley and products","2013","2013","kg","0.97","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2513","Barley and products","2013","2013","kcal/capita/day","7","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","674","Protein supply quantity (g/capita/day)","2513","Barley and products","2013","2013","g/capita/day","0.19","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","684","Fat supply quantity (g/capita/day)","2513","Barley and products","2013","2013","g/capita/day","0.03","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5511","Production","2514","Maize and products","2013","2013","1000 tonnes","1017031","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5611","Import Quantity","2514","Maize and products","2013","2013","1000 tonnes","122690","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5072","Stock Variation","2514","Maize and products","2013","2013","1000 tonnes","-55136","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5911","Export Quantity","2514","Maize and products","2013","2013","1000 tonnes","128786","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5301","Domestic supply quantity","2514","Maize and products","2013","2013","1000 tonnes","955798","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5521","Feed","2514","Maize and products","2013","2013","1000 tonnes","546110","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2514","Maize and products","2013","2013","1000 tonnes","6838","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2514","Maize and products","2013","2013","1000 tonnes","40703","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5131","Processing","2514","Maize and products","2013","2013","1000 tonnes","47649","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5154","Other uses","2514","Maize and products","2013","2013","1000 tonnes","189390","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2514","Maize and products","2013","2013","1000 tonnes","125181","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2514","Maize and products","2013","2013","kg","17.89","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2514","Maize and products","2013","2013","kcal/capita/day","147","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","674","Protein supply quantity (g/capita/day)","2514","Maize and products","2013","2013","g/capita/day","3.58","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","684","Fat supply quantity (g/capita/day)","2514","Maize and products","2013","2013","g/capita/day","1.26","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5511","Production","2515","Rye and products","2013","2013","1000 tonnes","16711","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5611","Import Quantity","2515","Rye and products","2013","2013","1000 tonnes","2256","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5072","Stock Variation","2515","Rye and products","2013","2013","1000 tonnes","-23","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5911","Export Quantity","2515","Rye and products","2013","2013","1000 tonnes","2374","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5301","Domestic supply quantity","2515","Rye and products","2013","2013","1000 tonnes","16570","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5521","Feed","2515","Rye and products","2013","2013","1000 tonnes","8099","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2515","Rye and products","2013","2013","1000 tonnes","1264","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2515","Rye and products","2013","2013","1000 tonnes","562","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5131","Processing","2515","Rye and products","2013","2013","1000 tonnes","1120","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5154","Other uses","2515","Rye and products","2013","2013","1000 tonnes","21","A","Aggregate, may include official, semi-official, estimated or calculated data"
